recall,precision,threshold
1.0,0.04816496114487959,7.877436834015e-05
1.0,0.04845013737858442,8.013006991593316e-05
1.0,0.048733019345296016,8.170804883326948e-05
1.0,0.049026902141990056,8.335175857529796e-05
1.0,0.0493282376580907,8.503346245738059e-05
1.0,0.04963133275192262,8.660735575378145e-05
1.0,0.04994614433318706,8.820018429939882e-05
1.0,0.05025286987236092,8.989935252948244e-05
1.0,0.05056542810985461,9.156544793869824e-05
1.0,0.050875695883619815,9.34492972828944e-05
1.0,0.05118142424985692,9.535846481321032e-05
1.0,0.05149296701488854,9.739594554293312e-05
1.0,0.05182119205298013,9.938578115055664e-05
1.0,0.05213842501978095,0.000101213695931
1.0,0.05248595623375534,0.000103309535001
1.0,0.05280249673147484,0.0001052801137067
1.0,0.0531454283046099,0.0001073932603652
1.0,0.05348141819735156,0.0001093147402007
1.0,0.05381936981472725,0.0001114044265341
1.0,0.054154591461568403,0.0001133174940381
1.0,0.05451537054776626,0.0001152993803439
1.0,0.05485934624485146,0.0001176130601189
1.0,0.05521499448732084,0.0001195983359636
1.0,0.05557775114307276,0.0001216580252767
1.0,0.05594280607685433,0.0001241673253611
1.0,0.056315221302626846,0.0001266227614041
1.0,0.05668749434030607,0.0001292803463613
1.0,0.05707252586953549,0.000131704949538
1.0,0.0574680987790324,0.0001341850858803
1.0,0.057861170163601074,0.0001371957438237
1.0,0.05825152375191923,0.0001399413593759
1.0,0.05864443299451965,0.0001429518252532
1.0,0.05903989436951806,0.0001460318204243
1.0,0.059454839016050906,0.0001492528309108
1.0,0.05987565758010521,0.0001525120284841
1.0,0.06030538028033332,0.0001564841447501
1.0,0.06073836899044292,0.0001604251856121
1.0,0.06116267708842208,0.0001637209658716
1.0,0.06158689556790792,0.0001680192310365
1.0,0.06201396800237753,0.000171883156593
1.0,0.062450119712689545,0.000175488281302
1.0,0.06288929073739201,0.0001797579752225
1.0,0.06335711755477962,0.0001845924813319
1.0,0.06380593211701152,0.0001900625396153
1.0,0.06428094675771423,0.0001944517034079
1.0,0.0647563877107686,0.0001985138241926
1.0,0.06523891407430567,0.0002039273793207
1.0,0.06573558752493962,0.0002089139264024
1.0,0.06623988148775196,0.0002147972767256
1.0,0.0667306257328643,0.0002207424111053
1.0,0.06724675045654743,0.0002267232865861
1.0,0.06777825898657427,0.0002325827663202
